Dato,Asset,RSI,MA10,MA30,Pris,Handling,Forklaring
2025-03-28,NHY.OL,29.4,66.56,67.0,61.66,KJØPTE NHY.OL for 0.63,RSI < 30 og MA10 < MA30
2025-03-31,XRP-USD,46.6,2.35,2.36,2.09,Ingen handling,"RSI=46.6, MA10=2.35, MA30=2.36 – ingen signaler"
2025-03-31,ETH-USD,43.2,1981.3,2158.96,1823.48,Ingen handling,"RSI=43.2, MA10=1981.3, MA30=2158.96 – ingen signaler"
2025-03-31,BTC-USD,49.3,85373.38,86959.7,82548.91,Ingen handling,"RSI=49.3, MA10=85373.38, MA30=86959.7 – ingen signaler"
2025-03-31,KOG.OL,48.8,1570.3,1501.77,1535.0,Ingen handling,"RSI=48.8, MA10=1570.3, MA30=1501.77 – ingen signaler"
2025-03-31,SAAB-B.ST,53.9,395.75,360.46,393.65,Ingen handling,"RSI=53.9, MA10=395.75, MA30=360.46 – ingen signaler"
2025-03-31,NHY.OL,24.6,65.72,66.76,60.32,KJØPTE NHY.OL for 0.44,RSI < 30 og MA10 < MA30
2025-04-01,XRP-USD,45.4,2.34,2.35,2.14,Ingen handling,"RSI=45.4, MA10=2.34, MA30=2.35 – ingen signaler"
2025-04-01,ETH-USD,49.8,1978.6,2133.5,1905.49,Ingen handling,"RSI=49.8, MA10=1978.6, MA30=2133.5 – ingen signaler"
2025-04-01,BTC-USD,52.8,85618.45,86614.02,85169.17,Ingen handling,"RSI=52.8, MA10=85618.45, MA30=86614.02 – ingen signaler"
2025-04-01,KOG.OL,52.8,1566.2,1512.43,1565.0,Ingen handling,"RSI=52.8, MA10=1566.2, MA30=1512.43 – ingen signaler"
2025-04-01,SAAB-B.ST,55.6,394.97,364.38,403.75,Ingen handling,"RSI=55.6, MA10=394.97, MA30=364.38 – ingen signaler"
2025-04-01,NHY.OL,26.2,64.77,66.56,59.96,KJØPTE NHY.OL for 0.31,RSI < 30 og MA10 < MA30
