Dato,Asset,RSI,MA10,MA30,Pris,Handling,Forklaring
2025-03-07,ETH-USD,17.8,2278.13,2644.85,2138.99,KJØPTE ETH-USD for 19.97,RSI < 30 og MA10 < MA30
2025-03-07,XRP-USD,41.6,2.35,2.57,2.38,Ingen handling,
2025-03-07,KOG.OL,79.3,1470.4,1333.4,1560.0,Ingen handling,
2025-03-07,NHY.OL,56.5,67.36,66.83,70.26,Ingen handling,
2025-03-07,SAAB-B.ST,79.8,336.38,275.89,359.45,Ingen handling,
2025-03-10,BTC-USD,26.3,86130.83,94050.97,78532.0,KJØPTE BTC-USD for 13.98,RSI < 30 og MA10 < MA30
2025-03-10,ETH-USD,14.6,2212.86,2600.93,1861.15,KJØPTE ETH-USD for 9.79,RSI < 30 og MA10 < MA30
2025-03-10,XRP-USD,35.9,2.32,2.53,2.02,Ingen handling,
2025-03-10,KOG.OL,72.1,1488.9,1338.57,1510.0,Ingen handling,
2025-03-10,NHY.OL,53.4,67.42,66.9,67.4,Ingen handling,
2025-03-10,SAAB-B.ST,80.9,343.29,280.42,368.8,Ingen handling,
2025-03-11,BTC-USD,32.4,85543.43,93435.3,82862.21,Ingen handling,
2025-03-11,ETH-USD,15.6,2155.49,2562.35,1919.84,KJØPTE ETH-USD for 6.85,RSI < 30 og MA10 < MA30
2025-03-11,XRP-USD,34.7,2.3,2.5,2.17,Ingen handling,
2025-03-11,KOG.OL,72.1,1508.6,1345.1,1545.0,Ingen handling,
2025-03-11,NHY.OL,53.9,67.54,66.99,67.84,Ingen handling,
2025-03-11,SAAB-B.ST,81.8,350.63,285.48,383.4,Ingen handling,
2025-03-12,BTC-USD,30.9,85480.96,92769.27,83722.36,Ingen handling,
2025-03-12,ETH-USD,13.6,2113.24,2522.22,1908.98,KJØPTE ETH-USD for 4.8,RSI < 30 og MA10 < MA30
2025-03-12,XRP-USD,38.2,2.31,2.47,2.24,Ingen handling,
2025-03-12,KOG.OL,71.4,1526.0,1351.1,1541.0,Ingen handling,
2025-03-12,NHY.OL,47.3,67.45,66.99,66.58,Ingen handling,
2025-03-12,SAAB-B.ST,82.5,358.56,290.67,388.5,Ingen handling,
2025-03-13,BTC-USD,30.5,85117.21,91980.32,81066.7,Ingen handling,
2025-03-13,ETH-USD,14.0,2068.99,2476.06,1862.97,KJØPTE ETH-USD for 3.36,RSI < 30 og MA10 < MA30
2025-03-13,XRP-USD,41.1,2.31,2.44,2.25,Ingen handling,
2025-03-13,KOG.OL,70.6,1549.2,1358.67,1577.0,Ingen handling,
2025-03-13,NHY.OL,52.9,67.53,66.99,67.7,Ingen handling,
2025-03-13,SAAB-B.ST,75.0,364.24,295.35,375.0,Ingen handling,
2025-03-14,BTC-USD,39.9,85076.82,91365.79,83969.1,Ingen handling,
2025-03-14,ETH-USD,20.0,2036.14,2429.76,1909.47,KJØPTE ETH-USD for 2.35,RSI < 30 og MA10 < MA30
2025-03-14,XRP-USD,52.4,2.34,2.42,2.36,Ingen handling,
2025-03-14,KOG.OL,75.3,1577.8,1368.83,1651.0,Ingen handling,
2025-03-14,NHY.OL,51.8,67.66,67.01,67.58,Ingen handling,
2025-03-14,SAAB-B.ST,78.1,372.28,300.67,399.95,Ingen handling,
2025-03-17,BTC-USD,43.2,84877.82,90788.13,84075.69,Ingen handling,
2025-03-17,ETH-USD,21.8,2014.29,2397.84,1927.0,KJØPTE ETH-USD for 1.64,RSI < 30 og MA10 < MA30
2025-03-17,XRP-USD,50.6,2.33,2.41,2.34,Ingen handling,
2025-03-17,KOG.OL,75.3,1587.0,1380.03,1674.0,Ingen handling,
2025-03-17,NHY.OL,54.8,67.82,67.1,68.8,Ingen handling,
2025-03-17,SAAB-B.ST,77.6,377.2,306.08,405.7,Ingen handling,
2025-03-18,BTC-USD,47.4,84427.45,90283.02,82718.5,Ingen handling,
2025-03-18,ETH-USD,26.5,1990.54,2371.09,1932.54,KJØPTE ETH-USD for 1.15,RSI < 30 og MA10 < MA30
2025-03-18,XRP-USD,53.1,2.31,2.4,2.29,Ingen handling,
2025-03-18,KOG.OL,67.2,1590.8,1389.37,1606.0,Ingen handling,
2025-03-18,NHY.OL,54.2,68.39,67.21,69.44,Ingen handling,
2025-03-18,SAAB-B.ST,78.7,383.61,311.88,411.55,Ingen handling,
2025-03-19,BTC-USD,53.1,84050.52,89957.64,86854.23,Ingen handling,
2025-03-19,ETH-USD,36.9,1972.12,2346.76,2057.75,Ingen handling,
2025-03-19,XRP-USD,59.9,2.32,2.41,2.55,Ingen handling,
2025-03-19,KOG.OL,70.2,1590.3,1399.83,1624.0,Ingen handling,
2025-03-19,NHY.OL,55.8,68.65,67.32,69.46,Ingen handling,
2025-03-19,SAAB-B.ST,68.6,385.7,316.92,389.6,Ingen handling,
2025-03-20,BTC-USD,49.7,83471.07,89543.44,84167.2,Ingen handling,
2025-03-20,ETH-USD,36.6,1950.08,2323.22,1982.1,Ingen handling,
2025-03-20,XRP-USD,58.0,2.3,2.41,2.43,Ingen handling,
2025-03-20,KOG.OL,66.3,1588.1,1410.07,1593.0,Ingen handling,
2025-03-20,NHY.OL,54.2,68.32,67.3,68.14,Ingen handling,
2025-03-20,SAAB-B.ST,68.3,387.12,322.31,389.3,Ingen handling,
2025-03-21,BTC-USD,47.2,83201.12,89127.25,84043.24,Ingen handling,
2025-03-21,ETH-USD,39.7,1932.67,2301.3,1964.85,Ingen handling,
2025-03-21,XRP-USD,49.8,2.3,2.41,2.38,Ingen handling,
2025-03-21,KOG.OL,49.0,1589.3,1422.2,1572.0,Ingen handling,
2025-03-21,NHY.OL,47.5,67.9,67.25,66.08,Ingen handling,
2025-03-21,SAAB-B.ST,57.2,389.18,327.87,380.05,Ingen handling,
2025-03-24,BTC-USD,50.4,84097.81,88795.96,87498.91,Ingen handling,
2025-03-24,ETH-USD,45.2,1954.3,2281.85,2077.48,Ingen handling,
2025-03-24,XRP-USD,49.8,2.35,2.41,2.45,Ingen handling,
2025-03-24,KOG.OL,49.4,1594.5,1436.5,1562.0,Ingen handling,
2025-03-24,NHY.OL,57.3,67.83,67.23,66.72,Ingen handling,
2025-03-24,SAAB-B.ST,64.5,392.01,333.84,397.1,Ingen handling,
2025-03-25,BTC-USD,45.5,84558.76,88520.1,87471.7,Ingen handling,
2025-03-25,ETH-USD,40.4,1969.09,2264.01,2067.76,Ingen handling,
2025-03-25,XRP-USD,48.5,2.37,2.41,2.45,Ingen handling,
2025-03-25,KOG.OL,41.7,1595.5,1450.57,1555.0,Ingen handling,
2025-03-25,NHY.OL,49.4,67.71,67.26,66.62,Ingen handling,
2025-03-25,SAAB-B.ST,60.7,393.85,339.95,401.7,Ingen handling,
2025-03-26,BTC-USD,45.6,84876.62,88153.93,86900.88,Ingen handling,
2025-03-26,ETH-USD,39.6,1979.11,2239.76,2009.19,Ingen handling,
2025-03-26,XRP-USD,42.1,2.38,2.41,2.35,Ingen handling,
2025-03-26,KOG.OL,46.4,1599.6,1465.47,1582.0,Ingen handling,
2025-03-26,NHY.OL,29.3,67.63,67.26,65.72,Ingen handling,
2025-03-26,SAAB-B.ST,57.6,394.8,345.96,398.05,Ingen handling,
2025-03-27,BTC-USD,50.7,85487.66,87839.04,87177.1,Ingen handling,
2025-03-27,ETH-USD,42.1,1993.05,2217.31,2002.36,Ingen handling,
2025-03-27,XRP-USD,48.4,2.39,2.4,2.34,Ingen handling,
2025-03-27,KOG.OL,50.1,1598.0,1479.53,1561.0,Ingen handling,
2025-03-27,NHY.OL,26.5,67.16,67.14,63.0,Ingen handling,
2025-03-27,SAAB-B.ST,65.8,397.73,351.89,404.3,Ingen handling,
2025-03-28,BTC-USD,61.1,85526.06,87400.51,84353.15,Ingen handling,
2025-03-28,ETH-USD,52.5,1991.65,2189.62,1895.5,Ingen handling,
2025-03-28,XRP-USD,58.1,2.38,2.38,2.2,Ingen handling,
2025-03-28,KOG.OL,50.4,1584.2,1491.6,1513.0,Ingen handling,
2025-03-28,NHY.OL,29.4,66.56,67.0,61.66,KJØPTE NHY.OL for 0.81,RSI < 30 og MA10 < MA30
2025-03-28,SAAB-B.ST,58.1,396.96,356.81,392.25,Ingen handling,
2025-03-31,BTC-USD,49.3,85373.38,86959.7,82548.91,Ingen handling,
2025-03-31,ETH-USD,43.2,1981.3,2158.96,1823.48,Ingen handling,
2025-03-31,XRP-USD,46.6,2.35,2.36,2.09,Ingen handling,
2025-03-31,KOG.OL,48.8,1570.3,1501.77,1535.0,Ingen handling,
2025-03-31,NHY.OL,24.6,65.72,66.76,60.32,KJØPTE NHY.OL for 0.56,RSI < 30 og MA10 < MA30
2025-03-31,SAAB-B.ST,53.9,395.75,360.46,393.65,Ingen handling,
2025-04-01,BTC-USD,52.8,85618.45,86614.02,85169.17,Ingen handling,
2025-04-01,ETH-USD,49.8,1978.6,2133.5,1905.49,Ingen handling,
2025-04-01,XRP-USD,45.4,2.34,2.35,2.14,Ingen handling,
2025-04-01,KOG.OL,52.8,1566.2,1512.43,1565.0,Ingen handling,
2025-04-01,NHY.OL,26.2,64.77,66.56,59.96,KJØPTE NHY.OL for 0.39,RSI < 30 og MA10 < MA30
2025-04-01,SAAB-B.ST,55.6,394.97,364.38,403.75,Ingen handling,
2025-04-02,BTC-USD,52.8,85181.6,86142.36,82485.71,Ingen handling,
2025-04-02,ETH-USD,46.0,1952.35,2102.82,1795.31,Ingen handling,
2025-04-02,XRP-USD,40.6,2.29,2.33,2.03,Ingen handling,
2025-04-02,KOG.OL,43.8,1556.0,1520.47,1522.0,Ingen handling,
2025-04-02,NHY.OL,17.8,63.68,66.31,58.58,KJØPTE NHY.OL for 0.28,RSI < 30 og MA10 < MA30
2025-04-02,SAAB-B.ST,54.4,394.73,367.49,387.2,Ingen handling,
